otazka,odpoved
"Čo je to pracovný systém?
","je taký system, ktorý je orientovaný do štuktúry a účelového správania, ktoré mu predpísal človek
"
"Čo je to celok?
","Celok môže byť pochopený len na základe objasnenia povahy jeho častí – analýzou celku, ale opačne to
neplatí

kto pozná len časti bez súvislostí, nepozná ešte celok, pokial nepozná súvislosti medzi časťami = Štruktúru systému
"
"Aké vlastnosti prvku(elementu) systému majú význam?
","len tie vlastnosti ktoré určujú jeho vzájoné pôsobenie s inými prvkami systému
"
"Čo je to podsystém?
","je ľubovolný súhrn prvkov daného systému spolu s väzbami medzi nimi
"
"Daj dve posdtsty podsystémov:
","1. na jednej strane je sám systémom s množstvom prvkov

2. na druhej strane
predstavuje prvok zložitého systému (napr.: úsek vo verejnej správe alebo dielňa vo výrobnom závode, organela v
bunke, orgán v živočíchovy, list na rastline)
"
"Čo určuje stav systému?
","určujú hodnoty parametrov, premenných alebo súradníc jeho prvkov
"
"Aký je to dynamický systém?
","je taký systém, v ktorom sa hodnoty premenných menia v čase i
priestore, t.j. keď system mení svoj stav
"
"Čo je to proces vzhľadom na systém?
","prechod systému z jedného stavu do druhého
"
"Čo je to riadenie z pohľadu na systém?
","je prevod systému do nového stavu cestou pôsobenia na jeho
premenné
"
"Čo je to riadenie z pohľadu na systém?


","je prevod systému do nového stavu cestou pôsobenia na jeho premenné

je to práca s informáciami

"
"Čo je cieľom riadenia z pohladu na system?
","Cieľom riadenia je prevod systému do nového, už skôr určeného stavu (= účelové riadenie)

Principiálna schéma systému riadenia SR (samoriadiaceho sa systému)

základným obsahom riadenia je ROZHODOVANIE
"
"Čo je to spätná väzba?
","každé rozhodnutie vyvolá činnosť, ktorá vplýva na okolité prostredie a jeho zmena vedie k novému rozhodnutiu a teda aj činnosti vplývajúcej
na okolité prostredie = SPÄTNOVÄZOBNÁ REŤAZ

napr. regulácia rovnováhy, teploty, tlaku, objednávky – skladové zásoby – výroba, vedenie auta, regulácia glykémie
"
"Čo je to dopredná väzba?
","umožňuje pozorovaním zmien na vstupe zavčasu určiť, či tieto zmeny môžu byť príčinou porúch pri dosahovaní žiaducich cieľov, aby bol čas na nápravné akcie

napr. nevytiahnete dáždnik z kabelky, až keď zmoknete, ale hneď, keď začne pršať; zošľapnete plyn (akcelerátor) pri ceste do kopca skôr, než
poklesne rýchlosť
"
